constructorStandingsId,raceId,constructorId,points,position,positionText,wins
"28603,1114,9,623,1,""1"",15"
"28604,1114,117,221,4,""4"",0"
"28605,1114,6,285,3,""3"",1"
"28606,1114,131,305,2,""2"",0"
"28607,1114,51,10,9,""9"",0"
"28608,1114,214,84,6,""6"",0"
"28609,1114,3,21,7,""7"",0"
"28610,1114,213,5,10,""10"",0"
"28611,1114,210,12,8,""8"",0"
"28612,1114,1,172,5,""5"",0"
"28660,1115,213,5,10,""10"",0"
"28658,1115,214,90,6,""6"",0"
"28662,1115,1,219,5,""5"",0"
"28661,1115,210,12,9,""9"",0"
"28659,1115,3,23,7,""7"",0"
"28657,1115,51,16,8,""8"",0"
"28656,1115,131,326,2,""2"",0"
"28655,1115,6,298,3,""3"",1"
"28654,1115,117,230,4,""4"",0"
"28653,1115,9,657,1,""1"",16"
"28671,1116,210,12,9,""9"",0"
"28669,1116,3,26,7,""7"",0"
"28665,1116,6,322,3,""3"",1"
"28672,1116,1,242,4,""4"",0"
"28670,1116,213,10,10,""10"",0"
"28668,1116,214,100,6,""6"",0"
"28667,1116,51,16,8,""8"",0"
"28666,1116,131,344,2,""2"",0"
"28664,1116,117,236,5,""5"",0"
"28663,1116,9,706,1,""1"",17"
"28673,1117,9,731,1,""1"",18"
"28674,1117,117,236,5,""5"",0"
"28675,1117,6,349,3,""3"",1"
"28676,1117,131,371,2,""2"",0"
"28677,1117,51,16,9,""9"",0"
"28678,1117,214,101,6,""6"",0"
"28679,1117,3,28,7,""7"",0"
"28680,1117,213,16,8,""8"",0"
"28681,1117,210,12,10,""10"",0"
"28682,1117,1,256,4,""4"",0"
"28683,1118,9,782,1,""1"",19"
"28684,1118,117,261,5,""5"",0"
"28685,1118,6,362,3,""3"",1"
"28686,1118,131,382,2,""2"",0"
"28687,1118,51,16,9,""9"",0"
"28688,1118,214,108,6,""6"",0"
"28689,1118,3,28,7,""7"",0"
"28690,1118,213,21,8,""8"",0"
"28691,1118,210,12,10,""10"",0"
"28692,1118,1,282,4,""4"",0"
"28693,1119,9,822,1,""1"",20"
"28694,1119,117,273,5,""5"",0"
"28695,1119,6,388,3,""3"",1"
"28696,1119,131,392,2,""2"",0"
"28697,1119,51,16,9,""9"",0"
"28698,1119,214,120,6,""6"",0"
"28699,1119,3,28,7,""7"",0"
"28700,1119,213,21,8,""8"",0"
"28701,1119,210,12,10,""10"",0"
"28702,1119,1,284,4,""4"",0"
"28703,1120,9,860,1,""1"",21"
"28704,1120,117,280,5,""5"",0"
"28705,1120,6,406,3,""3"",1"
"28706,1120,131,409,2,""2"",0"
"28707,1120,51,16,9,""9"",0"
"28708,1120,214,120,6,""6"",0"
"28709,1120,3,28,7,""7"",0"
"28710,1120,213,25,8,""8"",0"
"28711,1120,210,12,10,""10"",0"
"28712,1120,1,302,4,""4"",0"
"28713,1121,9,44,1,""1"",1"
"28714,1121,6,27,2,""2"",0"
"28715,1121,131,16,3,""3"",0"
"28716,1121,1,12,4,""4"",0"
"28717,1121,117,3,5,""5"",0"
"28718,1121,15,0,6,""6"",0"
"28719,1121,210,0,7,""7"",0"
"28720,1121,215,0,8,""8"",0"
"28721,1121,3,0,9,""9"",0"
"28722,1121,214,0,10,""10"",0"
"28723,1122,9,87,1,""1"",2"
"28724,1122,6,49,2,""2"",0"
"28725,1122,131,26,4,""4"",0"
"28726,1122,1,28,3,""3"",0"
"28727,1122,117,13,5,""5"",0"
"28728,1122,15,0,8,""8"",0"
"28729,1122,210,1,6,""6"",0"
"28730,1122,215,0,9,""9"",0"
"28731,1122,3,0,7,""7"",0"
"28732,1122,214,0,10,""10"",0"
"28752,1123,214,0,10,""10"",0"
"28750,1123,215,6,6,""6"",0"
"28748,1123,15,0,9,""9"",0"
"28747,1123,117,25,5,""5"",0"
"28746,1123,1,55,3,""3"",0"
"28745,1123,131,26,4,""4"",0"
"28751,1123,3,0,8,""8"",0"
"28749,1123,210,4,7,""7"",0"
"28744,1123,6,93,2,""2"",1"
"28743,1123,9,97,1,""1"",2"
"28753,1124,9,141,1,""1"",3"
"28754,1124,6,120,2,""2"",1"
"28755,1124,131,34,4,""4"",0"
"28756,1124,1,69,3,""3"",0"
"28757,1124,117,33,5,""5"",0"
"28758,1124,15,0,9,""9"",0"
"28759,1124,210,4,7,""7"",0"
"28760,1124,215,7,6,""6"",0"
"28761,1124,3,0,8,""8"",0"
"28762,1124,214,0,10,""10"",0"
"28784,1126,6,187,2,""2"",1"
"28783,1126,9,239,1,""1"",4"
"28782,1125,214,0,9,""9"",0"
"28780,1125,215,7,6,""6"",0"
"28779,1125,210,5,7,""7"",0"
"28778,1125,15,0,10,""10"",0"
"28777,1125,117,40,5,""5"",0"
"28774,1125,6,151,2,""2"",1"
"28781,1125,3,0,8,""8"",0"
"28776,1125,1,96,3,""3"",0"
"28775,1125,131,52,4,""4"",0"
"28773,1125,9,195,1,""1"",4"
"28785,1126,131,64,4,""4"",0"
"28786,1126,1,124,3,""3"",1"
"28787,1126,117,42,5,""5"",0"
"28788,1126,15,0,10,""10"",0"
"28789,1126,210,7,7,""7"",0"
"28790,1126,215,19,6,""6"",0"
"28791,1126,3,0,9,""9"",0"
"28792,1126,214,1,8,""8"",0"
"28793,1127,9,268,1,""1"",5"
"28794,1127,6,212,2,""2"",1"
"28795,1127,131,79,4,""4"",0"
"28796,1127,1,154,3,""3"",1"
"28797,1127,117,44,5,""5"",0"
"28798,1127,15,0,10,""10"",0"
"28799,1127,210,7,7,""7"",0"
"28800,1127,215,20,6,""6"",0"
"28801,1127,3,0,9,""9"",0"
"28802,1127,214,1,8,""8"",0"
"28803,1128,9,276,1,""1"",5"
"28804,1128,6,252,2,""2"",2"
"28805,1128,131,96,4,""4"",0"
"28806,1128,1,184,3,""3"",1"
"28807,1128,117,44,5,""5"",0"
"28808,1128,15,0,10,""10"",0"
"28809,1128,210,7,7,""7"",0"
"28810,1128,215,24,6,""6"",0"
"28811,1128,3,2,8,""8"",0"
"28812,1128,214,2,9,""9"",0"
"28813,1129,9,301,1,""1"",6"
"28814,1129,6,252,2,""2"",2"
"28815,1129,131,124,4,""4"",0"
"28816,1129,1,212,3,""3"",1"
"28817,1129,117,58,5,""5"",0"
"28818,1129,15,0,10,""10"",0"
"28819,1129,210,7,7,""7"",0"
"28820,1129,215,28,6,""6"",0"
"28821,1129,3,2,9,""9"",0"
"28822,1129,214,5,8,""8"",0"
"28823,1130,9,330,1,""1"",7"
"28824,1130,6,270,2,""2"",2"
"28825,1130,131,151,4,""4"",0"
"28826,1130,1,237,3,""3"",1"
"28827,1130,117,58,5,""5"",0"
"28828,1130,15,0,10,""10"",0"
"28829,1130,210,7,8,""8"",0"
"28830,1130,215,28,6,""6"",0"
"28831,1130,3,2,9,""9"",0"
"28832,1130,214,8,7,""7"",0"
"28833,1131,9,355,1,""1"",7"
"28834,1131,6,291,2,""2"",2"
"28835,1131,131,196,4,""4"",1"
"28836,1131,1,268,3,""3"",1"
"28837,1131,117,58,5,""5"",0"
"28838,1131,15,0,10,""10"",0"
"28839,1131,210,19,7,""7"",0"
"28840,1131,215,30,6,""6"",0"
"28841,1131,3,2,9,""9"",0"
"28842,1131,214,9,8,""8"",0"
"28843,1132,9,373,1,""1"",7"
"28844,1132,6,302,2,""2"",2"
"28845,1132,131,221,4,""4"",2"
"28846,1132,1,295,3,""3"",1"
"28847,1132,117,68,5,""5"",0"
"28848,1132,15,0,10,""10"",0"
"28849,1132,210,27,7,""7"",0"
"28850,1132,215,31,6,""6"",0"
"28851,1132,3,4,9,""9"",0"
"28852,1132,214,9,8,""8"",0"
"28853,1133,9,389,1,""1"",7"
"28854,1133,6,322,3,""3"",2"
"28855,1133,131,241,4,""4"",2"
"28856,1133,1,338,2,""2"",2"
"28857,1133,117,69,5,""5"",0"
"28858,1133,15,0,10,""10"",0"
"28859,1133,210,27,7,""7"",0"
"28860,1133,215,33,6,""6"",0"
"28861,1133,3,4,9,""9"",0"
"28862,1133,214,9,8,""8"",0"
"28882,1134,214,11,8,""8"",0"
"28880,1134,215,34,6,""6"",0"
"28879,1134,210,27,7,""7"",0"
"28878,1134,15,0,10,""10"",0"
"28877,1134,117,73,5,""5"",0"
"28875,1134,131,266,4,""4"",3"
"28874,1134,6,345,3,""3"",2"
"28881,1134,3,4,9,""9"",0"
"28876,1134,1,366,2,""2"",2"
"28873,1134,9,408,1,""1"",7"
"28883,1135,9,434,1,""1"",7"
"28884,1135,6,370,3,""3"",2"
"28885,1135,131,276,4,""4"",3"
"28886,1135,1,404,2,""2"",3"
"28887,1135,117,74,5,""5"",0"
"28888,1135,15,0,10,""10"",0"
"28889,1135,210,27,7,""7"",0"
"28890,1135,215,34,6,""6"",0"
"28891,1135,3,4,9,""9"",0"
"28892,1135,214,13,8,""8"",0"
"28893,1136,9,446,1,""1"",7"
"28894,1136,6,407,3,""3"",3"
"28895,1136,131,292,4,""4"",3"
"28896,1136,1,438,2,""2"",3"
"28897,1136,117,74,5,""5"",0"
"28898,1136,15,0,10,""10"",0"
"28899,1136,210,28,7,""7"",0"
"28900,1136,215,34,6,""6"",0"
"28901,1136,3,6,9,""9"",0"
"28902,1136,214,13,8,""8"",0"
"28903,1137,9,456,2,""2"",7"
"28904,1137,6,425,3,""3"",3"
"28905,1137,131,309,4,""4"",3"
"28906,1137,1,476,1,""1"",4"
"28907,1137,117,82,5,""5"",0"
"28908,1137,15,0,10,""10"",0"
"28909,1137,210,29,7,""7"",0"
"28910,1137,215,34,6,""6"",0"
"28911,1137,3,16,8,""8"",0"
"28912,1137,214,13,9,""9"",0"
"28913,1138,9,475,2,""2"",7"
"28914,1138,6,441,3,""3"",3"
"28915,1138,131,329,4,""4"",3"
"28916,1138,1,516,1,""1"",5"
"28917,1138,117,86,5,""5"",0"
"28918,1138,15,0,10,""10"",0"
"28919,1138,210,31,7,""7"",0"
"28920,1138,215,34,6,""6"",0"
"28921,1138,3,16,8,""8"",0"
"28922,1138,214,13,9,""9"",0"
"28923,1139,9,504,2,""2"",7"
"28924,1139,6,496,3,""3"",4"
"28925,1139,131,344,4,""4"",3"
"28926,1139,1,544,1,""1"",5"
"28927,1139,117,86,5,""5"",0"
"28928,1139,15,0,10,""10"",0"
"28929,1139,210,38,6,""6"",0"
"28930,1139,215,36,7,""7"",0"
"28931,1139,3,17,8,""8"",0"
